external_id,lemma,translation_en,translation_fa,perfect_auxiliary,participle_ii,separable,separable_prefix,cefr,example_de,example_en,example_fa
verb.kommunizieren,kommunizieren,to communicate,ارتباط برقرار کردن,haben,kommuniziert,false,,A2,Ich kann technische Entscheidungen klar kommunizieren.,I can communicate technical decisions clearly.,می‌توانم تصمیم‌های فنی را به‌وضوح بیان کنم.
verb.dokumentieren,dokumentieren,to document,مستندسازی کردن,haben,dokumentiert,false,,B1,Ich kann APIs und Architekturentscheidungen dokumentieren.,I can document APIs and architecture decisions.,می‌توانم APIها و تصمیم‌های معماری را مستندسازی کنم.
verb.erklaeren,erklären,to explain,توضیح دادن,haben,erklärt,false,,A2,Ich kann meinen Lösungsweg verständlich erklären.,I can explain my solution approach clearly.,می‌توانم روش حل مسئله‌ام را به‌صورت قابل‌فهم توضیح دهم.
verb.beschreiben,beschreiben,to describe,توصیف کردن,haben,beschrieben,false,,A2,Ich kann meine Aufgaben im Projekt beschreiben.,I can describe my tasks in the project.,می‌توانم وظایفم در پروژه را توضیح دهم.
verb.vorstellen,vorstellen,to introduce / present,معرفی کردن,haben,vorgestellt,true,vor,A2,Ich kann mich und mein Projekt kurz vorstellen.,I can briefly introduce myself and my project.,می‌توانم خودم و پروژه‌ام را کوتاه معرفی کنم.
verb.praesentieren,präsentieren,to present,ارائه کردن,haben,präsentiert,false,,B1,Ich kann technische Ergebnisse kompakt präsentieren.,I can present technical results concisely.,می‌توانم نتایج فنی را به‌صورت مختصر ارائه کنم.
verb.entscheiden,entscheiden,to decide,تصمیم گرفتن,haben,entschieden,false,,A2,Ich kann anhand klarer Kriterien entscheiden.,I can make decisions based on clear criteria.,می‌توانم بر اساس معیارهای مشخص تصمیم بگیرم.
verb.auswaehlen,auswählen,to select,انتخاب کردن,haben,ausgewählt,true,aus,A2,Ich kann passende Technologien auswählen.,I can select suitable technologies.,می‌توانم فناوری‌های مناسب را انتخاب کنم.
verb.verwenden,verwenden,to use,استفاده کردن,haben,verwendet,false,,A2,Ich kann Docker für reproduzierbare Umgebungen verwenden.,I can use Docker for reproducible environments.,می‌توانم از Docker برای محیط‌های قابل‌بازتولید استفاده کنم.
verb.nutzen,nutzen,to use,به‌کار بردن,haben,genutzt,false,,A2,Ich kann vorhandene Komponenten sinnvoll nutzen.,I can make effective use of existing components.,می‌توانم از کامپوننت‌های موجود به‌شکل مؤثر استفاده کنم.
verb.erstellen,erstellen,to create,ایجاد کردن,haben,erstellt,false,,A2,Ich kann technische Dokumentation erstellen.,I can create technical documentation.,می‌توانم مستندات فنی ایجاد کنم.
verb.bauen,bauen,to build,ساختن,haben,gebaut,false,,A2,Ich kann robuste Webanwendungen bauen.,I can build robust web applications.,می‌توانم برنامه‌های وب مقاوم بسازم.
verb.konfigurieren,konfigurieren,to configure,پیکربندی کردن,haben,konfiguriert,false,,B1,Ich kann Services für verschiedene Umgebungen konfigurieren.,I can configure services for different environments.,می‌توانم سرویس‌ها را برای محیط‌های مختلف پیکربندی کنم.
verb.installieren,installieren,to install,نصب کردن,haben,installiert,false,,A2,Ich kann benötigte Entwicklungswerkzeuge installieren.,I can install the required development tools.,می‌توانم ابزارهای توسعه‌ی موردنیاز را نصب کنم.
verb.aktualisieren,aktualisieren,to update,به‌روزرسانی کردن,haben,aktualisiert,false,,B1,Ich kann Abhängigkeiten kontrolliert aktualisieren.,I can update dependencies in a controlled way.,می‌توانم وابستگی‌ها را به‌صورت کنترل‌شده به‌روزرسانی کنم.
verb.migrieren,migrieren,to migrate,مهاجرت دادن,haben,migriert,false,,B1,Ich kann Datenbanken ohne unnötige Ausfallzeit migrieren.,I can migrate databases without unnecessary downtime.,می‌توانم پایگاه‌های داده را بدون قطعی غیرضروری مهاجرت دهم.
verb.automatisieren,automatisieren,to automate,خودکار کردن,haben,automatisiert,false,,B1,Ich kann wiederkehrende Deployment-Schritte automatisieren.,I can automate recurring deployment steps.,می‌توانم مراحل تکراری دیپلوی را خودکار کنم.
verb.ueberwachen,überwachen,to monitor,پایش کردن,haben,überwacht,false,,B1,Ich kann Services mit Logs und Metriken überwachen.,I can monitor services using logs and metrics.,می‌توانم سرویس‌ها را با لاگ‌ها و متریک‌ها پایش کنم.
verb.messen,messen,to measure,اندازه‌گیری کردن,haben,gemessen,false,,B1,Ich kann Laufzeit und Fehlerraten messen.,I can measure runtime and error rates.,می‌توانم زمان اجرا و نرخ خطا را اندازه‌گیری کنم.
verb.speichern,speichern,to store,ذخیره کردن,haben,gespeichert,false,,A2,Ich kann Daten sicher in PostgreSQL speichern.,I can store data securely in PostgreSQL.,می‌توانم داده‌ها را به‌صورت امن در PostgreSQL ذخیره کنم.
verb.laden,laden,to load,بارگذاری کردن,haben,geladen,false,,A2,Ich kann Daten asynchron laden.,I can load data asynchronously.,می‌توانم داده‌ها را به‌صورت غیرهمزمان بارگذاری کنم.
verb.senden,senden,to send,ارسال کردن,haben,gesendet,false,,A2,Ich kann strukturierte Daten über eine API senden.,I can send structured data through an API.,می‌توانم داده‌های ساختاریافته را از طریق یک API ارسال کنم.
verb.empfangen,empfangen,to receive,دریافت کردن,haben,empfangen,false,,A2,Ich kann Ereignisse aus einer Queue empfangen.,I can receive events from a queue.,می‌توانم رویدادها را از یک صف دریافت کنم.
verb.verarbeiten,verarbeiten,to process,پردازش کردن,haben,verarbeitet,false,,B1,Ich kann große Datenmengen schrittweise verarbeiten.,I can process large amounts of data step by step.,می‌توانم حجم زیادی از داده را مرحله‌به‌مرحله پردازش کنم.
verb.validieren,validieren,to validate,اعتبارسنجی کردن,haben,validiert,false,,B1,Ich kann Nutzereingaben am Systemrand validieren.,I can validate user input at the system boundary.,می‌توانم ورودی کاربر را در مرز سیستم اعتبارسنجی کنم.
verb.authentifizieren,authentifizieren,to authenticate,احراز هویت کردن,haben,authentifiziert,false,,B2,Ich kann Benutzer sicher authentifizieren.,I can authenticate users securely.,می‌توانم کاربران را به‌صورت امن احراز هویت کنم.
verb.autorisieren,autorisieren,to authorize,مجوزدهی کردن,haben,autorisiert,false,,B2,Ich kann Zugriffe auf Ressourcen autorisieren.,I can authorize access to resources.,می‌توانم دسترسی به منابع را مجاز کنم.
verb.verschluesseln,verschlüsseln,to encrypt,رمزگذاری کردن,haben,verschlüsselt,false,,B1,Ich kann sensible Daten bei der Übertragung verschlüsseln.,I can encrypt sensitive data during transmission.,می‌توانم داده‌های حساس را هنگام انتقال رمزگذاری کنم.
verb.sichern,sichern,to secure / back up,ایمن‌سازی یا پشتیبان‌گیری کردن,haben,gesichert,false,,B1,Ich kann wichtige Daten regelmäßig sichern.,I can back up important data regularly.,می‌توانم از داده‌های مهم به‌طور منظم پشتیبان بگیرم.
verb.schuetzen,schützen,to protect,محافظت کردن,haben,geschützt,false,,B1,Ich kann interne Endpunkte vor unberechtigtem Zugriff schützen.,I can protect internal endpoints from unauthorized access.,می‌توانم endpointهای داخلی را در برابر دسترسی غیرمجاز محافظت کنم.
verb.skalieren,skalieren,to scale,مقیاس‌پذیر کردن,haben,skaliert,false,,B1,Ich kann zustandslose Services horizontal skalieren.,I can scale stateless services horizontally.,می‌توانم سرویس‌های بدون state را به‌صورت افقی مقیاس‌پذیر کنم.
verb.starten,starten,to start,شروع کردن,haben,gestartet,false,,A2,Ich kann lokale Services mit Docker starten.,I can start local services with Docker.,می‌توانم سرویس‌های محلی را با Docker اجرا کنم.
verb.stoppen,stoppen,to stop,متوقف کردن,haben,gestoppt,false,,A2,Ich kann fehlerhafte Jobs kontrolliert stoppen.,I can stop faulty jobs in a controlled way.,می‌توانم jobهای معیوب را به‌صورت کنترل‌شده متوقف کنم.
verb.ausfuehren,ausführen,to execute,اجرا کردن,haben,ausgeführt,true,aus,A2,Ich kann Migrationen kontrolliert ausführen.,I can run migrations in a controlled way.,می‌توانم migrationها را به‌صورت کنترل‌شده اجرا کنم.
verb.aufrufen,aufrufen,to call,فراخوانی کردن,haben,aufgerufen,true,auf,A2,Ich kann einen API-Endpunkt aus dem Frontend aufrufen.,I can call an API endpoint from the frontend.,می‌توانم یک endpoint از API را از فرانت‌اند فراخوانی کنم.
verb.zurueckgeben,zurückgeben,to return,برگرداندن,haben,zurückgegeben,true,zurück,B1,Ich kann klare Fehlercodes an den Client zurückgeben.,I can return clear error codes to the client.,می‌توانم کدهای خطای واضح به کلاینت برگردانم.
verb.uebergeben,übergeben,to pass / hand over,تحویل یا پاس دادن,haben,übergeben,false,,B1,Ich kann Daten typisiert an eine Funktion übergeben.,I can pass typed data to a function.,می‌توانم داده‌های type-safe را به یک تابع پاس بدهم.
verb.lesen,lesen,to read,خواندن,haben,gelesen,false,,A2,Ich kann Konfiguration aus Umgebungsvariablen lesen.,I can read configuration from environment variables.,می‌توانم تنظیمات را از متغیرهای محیطی بخوانم.
verb.schreiben,schreiben,to write,نوشتن,haben,geschrieben,false,,A2,Ich kann sauberen und wartbaren Code schreiben.,I can write clean and maintainable code.,می‌توانم کد تمیز و قابل‌نگهداری بنویسم.
verb.aendern,ändern,to change,تغییر دادن,haben,geändert,false,,A2,Ich kann bestehende Funktionen sicher ändern.,I can safely change existing functions.,می‌توانم توابع موجود را با اطمینان تغییر دهم.
verb.hinzufuegen,hinzufügen,to add,اضافه کردن,haben,hinzugefügt,true,hinzu,A2,Ich kann neue Felder ohne Breaking Change hinzufügen.,I can add new fields without a breaking change.,می‌توانم بدون ایجاد breaking change فیلدهای جدید اضافه کنم.
verb.entfernen,entfernen,to remove,حذف کردن,haben,entfernt,false,,A2,Ich kann veralteten Code kontrolliert entfernen.,I can remove outdated code in a controlled way.,می‌توانم کد قدیمی را به‌صورت کنترل‌شده حذف کنم.
verb.loeschen,löschen,to delete,پاک کردن,haben,gelöscht,false,,A2,Ich kann personenbezogene Daten gezielt löschen.,I can selectively delete personal data.,می‌توانم داده‌های شخصی را به‌صورت هدفمند حذف کنم.
verb.suchen,suchen,to search,جستجو کردن,haben,gesucht,false,,A2,Ich kann Inhalte nach Stichwörtern suchen.,I can search content by keywords.,می‌توانم محتوا را بر اساس کلمات کلیدی جستجو کنم.
verb.filtern,filtern,to filter,فیلتر کردن,haben,gefiltert,false,,A2,Ich kann Ergebnisse nach Status filtern.,I can filter results by status.,می‌توانم نتایج را بر اساس وضعیت فیلتر کنم.
verb.sortieren,sortieren,to sort,مرتب کردن,haben,sortiert,false,,A2,Ich kann Datensätze nach Datum sortieren.,I can sort records by date.,می‌توانم رکوردها را بر اساس تاریخ مرتب کنم.
verb.vergleichen,vergleichen,to compare,مقایسه کردن,haben,verglichen,false,,A2,Ich kann zwei technische Optionen objektiv vergleichen.,I can objectively compare two technical options.,می‌توانم دو گزینه‌ی فنی را به‌صورت عینی مقایسه کنم.
verb.unterscheiden,unterscheiden,to distinguish,تمایز قائل شدن,haben,unterschieden,false,,B1,Ich kann funktionale und nichtfunktionale Anforderungen unterscheiden.,I can distinguish functional from non-functional requirements.,می‌توانم نیازمندی‌های عملکردی و غیرعملکردی را از هم تشخیص دهم.
verb.verstehen,verstehen,to understand,فهمیدن,haben,verstanden,false,,A2,Ich kann neue Anforderungen schnell verstehen.,I can quickly understand new requirements.,می‌توانم نیازمندی‌های جدید را سریع بفهمم.
verb.lernen,lernen,to learn,یاد گرفتن,haben,gelernt,false,,A2,Ich kann mich schnell in neue Technologien einarbeiten und lernen.,I can quickly get familiar with and learn new technologies.,می‌توانم سریع با فناوری‌های جدید آشنا شوم و آن‌ها را یاد بگیرم.
verb.ueben,üben,to practice,تمرین کردن,haben,geübt,false,,A2,Ich kann technische Antworten auf Deutsch üben.,I can practice technical answers in German.,می‌توانم پاسخ‌های فنی را به زبان آلمانی تمرین کنم.
verb.wiederholen,wiederholen,to repeat,تکرار کردن,haben,wiederholt,false,,A2,Ich kann wichtige Fachbegriffe regelmäßig wiederholen.,I can regularly review important technical terms.,می‌توانم اصطلاحات فنی مهم را به‌طور منظم مرور کنم.
verb.beantworten,beantworten,to answer,پاسخ دادن,haben,beantwortet,false,,A2,Ich kann typische Interviewfragen strukturiert beantworten.,I can answer typical interview questions in a structured way.,می‌توانم به پرسش‌های رایج مصاحبه به‌صورت ساختاریافته پاسخ دهم.
verb.fragen,fragen,to ask,پرسیدن,haben,gefragt,false,,A2,Ich kann nachfragen, wenn eine Anforderung unklar ist.,I can ask follow-up questions when a requirement is unclear.,وقتی یک نیازمندی نامشخص باشد می‌توانم سؤال تکمیلی بپرسم.
verb.zuhoeren,zuhören,to listen,گوش دادن,haben,zugehört,true,zu,A2,Ich kann aufmerksam zuhören und Rückfragen stellen.,I can listen carefully and ask follow-up questions.,می‌توانم با دقت گوش بدهم و سؤال تکمیلی بپرسم.
verb.sprechen,sprechen,to speak,صحبت کردن,haben,gesprochen,false,,A2,Ich kann über meine Projekte auf Deutsch sprechen.,I can speak about my projects in German.,می‌توانم درباره‌ی پروژه‌هایم به زبان آلمانی صحبت کنم.
verb.zusammenarbeiten,zusammenarbeiten,to collaborate,همکاری کردن,haben,zusammengearbeitet,true,zusammen,A2,Ich kann gut mit Entwicklern und Fachbereichen zusammenarbeiten.,I can collaborate well with developers and business teams.,می‌توانم با توسعه‌دهندگان و تیم‌های تخصصی به‌خوبی همکاری کنم.
verb.unterstuetzen,unterstützen,to support,پشتیبانی کردن,haben,unterstützt,false,,A2,Ich kann Teammitglieder bei technischen Problemen unterstützen.,I can support team members with technical problems.,می‌توانم در مشکلات فنی از اعضای تیم حمایت کنم.
verb.uebernehmen,übernehmen,to take over,بر عهده گرفتن,haben,übernommen,false,,B1,Ich kann Verantwortung für ein Feature übernehmen.,I can take responsibility for a feature.,می‌توانم مسئولیت یک قابلیت را بر عهده بگیرم.
verb.verantworten,verantworten,to be responsible for,مسئول بودن,haben,verantwortet,false,,B1,Ich kann technische Entscheidungen fachlich verantworten.,I can take professional responsibility for technical decisions.,می‌توانم مسئولیت تخصصی تصمیم‌های فنی را بر عهده بگیرم.
verb.leiten,leiten,to lead,هدایت کردن,haben,geleitet,false,,B1,Ich kann ein kleines technisches Arbeitspaket leiten.,I can lead a small technical work package.,می‌توانم یک بسته‌ی کاری فنی کوچک را هدایت کنم.
verb.organisieren,organisieren,to organize,سازمان‌دهی کردن,haben,organisiert,false,,A2,Ich kann meine Aufgaben selbstständig organisieren.,I can organize my tasks independently.,می‌توانم وظایفم را به‌صورت مستقل سازمان‌دهی کنم.
verb.priorisieren,priorisieren,to prioritize,اولویت‌بندی کردن,haben,priorisiert,false,,B1,Ich kann Aufgaben nach Risiko und Nutzen priorisieren.,I can prioritize tasks by risk and benefit.,می‌توانم وظایف را بر اساس ریسک و فایده اولویت‌بندی کنم.
verb.schaetzen,schätzen,to estimate,برآورد کردن,haben,geschätzt,false,,B1,Ich kann den Aufwand einer Aufgabe grob schätzen.,I can roughly estimate the effort for a task.,می‌توانم میزان تلاش لازم برای یک کار را به‌طور تقریبی برآورد کنم.
verb.liefern,liefern,to deliver,تحویل دادن,haben,geliefert,false,,A2,Ich kann kleine Änderungen zuverlässig liefern.,I can deliver small changes reliably.,می‌توانم تغییرات کوچک را با اطمینان تحویل دهم.
verb.erreichen,erreichen,to achieve,دستیابی پیدا کردن,haben,erreicht,false,,A2,Ich kann vereinbarte technische Ziele erreichen.,I can achieve agreed technical goals.,می‌توانم به اهداف فنی توافق‌شده دست پیدا کنم.
verb.vermeiden,vermeiden,to avoid,اجتناب کردن,haben,vermieden,false,,B1,Ich kann unnötige Abhängigkeiten vermeiden.,I can avoid unnecessary dependencies.,می‌توانم از وابستگی‌های غیرضروری اجتناب کنم.
verb.reduzieren,reduzieren,to reduce,کاهش دادن,haben,reduziert,false,,B1,Ich kann Antwortzeiten durch Caching reduzieren.,I can reduce response times through caching.,می‌توانم با caching زمان پاسخ را کاهش دهم.
verb.erhoehen,erhöhen,to increase,افزایش دادن,haben,erhöht,false,,B1,Ich kann die Zuverlässigkeit durch Tests erhöhen.,I can increase reliability through testing.,می‌توانم با تست کردن قابلیت اطمینان را افزایش دهم.
verb.teilen,teilen,to share,به اشتراک گذاشتن,haben,geteilt,false,,A2,Ich kann Wissen und Dokumentation im Team teilen.,I can share knowledge and documentation within the team.,می‌توانم دانش و مستندات را در تیم به اشتراک بگذارم.
verb.abstimmen,abstimmen,to coordinate,هماهنگ کردن,haben,abgestimmt,true,ab,B1,Ich kann technische Schnittstellen mit anderen Teams abstimmen.,I can coordinate technical interfaces with other teams.,می‌توانم رابط‌های فنی را با تیم‌های دیگر هماهنگ کنم.
verb.teilnehmen,teilnehmen,to participate,شرکت کردن,haben,teilgenommen,true,teil,A2,Ich kann aktiv an technischen Meetings teilnehmen.,I can actively participate in technical meetings.,می‌توانم فعالانه در جلسات فنی شرکت کنم.
verb.vereinbaren,vereinbaren,to agree,توافق کردن,haben,vereinbart,false,,A2,Ich kann klare nächste Schritte mit dem Team vereinbaren.,I can agree on clear next steps with the team.,می‌توانم درباره‌ی گام‌های بعدی روشن با تیم توافق کنم.
verb.besprechen,besprechen,to discuss,بررسی و گفتگو کردن,haben,besprochen,false,,A2,Ich kann offene Punkte direkt mit Stakeholdern besprechen.,I can discuss open points directly with stakeholders.,می‌توانم موارد باز را مستقیماً با ذی‌نفعان بررسی کنم.
verb.diskutieren,diskutieren,to discuss,بحث کردن,haben,diskutiert,false,,A2,Ich kann Vor- und Nachteile einer Lösung sachlich diskutieren.,I can objectively discuss the advantages and disadvantages of a solution.,می‌توانم مزایا و معایب یک راه‌حل را بی‌طرفانه بررسی کنم.
verb.vorschlagen,vorschlagen,to suggest,پیشنهاد دادن,haben,vorgeschlagen,true,vor,B1,Ich kann eine einfachere technische Lösung vorschlagen.,I can suggest a simpler technical solution.,می‌توانم یک راه‌حل فنی ساده‌تر پیشنهاد دهم.
verb.begruenden,begründen,to justify,دلیل آوردن,haben,begründet,false,,B1,Ich kann Architekturentscheidungen nachvollziehbar begründen.,I can justify architecture decisions in a clear way.,می‌توانم تصمیم‌های معماری را به‌شکل قابل‌فهم توجیه کنم.
verb.bewerten,bewerten,to evaluate,ارزیابی کردن,haben,bewertet,false,,B1,Ich kann Risiken vor einer Änderung bewerten.,I can evaluate risks before making a change.,می‌توانم ریسک‌ها را قبل از یک تغییر ارزیابی کنم.
verb.beobachten,beobachten,to observe,مشاهده کردن,haben,beobachtet,false,,A2,Ich kann das Verhalten eines Systems unter Last beobachten.,I can observe a system's behavior under load.,می‌توانم رفتار یک سیستم را زیر بار مشاهده کنم.
verb.erkennen,erkennen,to recognize,تشخیص دادن,haben,erkannt,false,,B1,Ich kann wiederkehrende Fehlermuster früh erkennen.,I can identify recurring error patterns early.,می‌توانم الگوهای تکرارشونده‌ی خطا را زود تشخیص دهم.
verb.reagieren,reagieren,to react,واکنش نشان دادن,haben,reagiert,false,,A2,Ich kann ruhig auf Produktionsprobleme reagieren.,I can respond calmly to production problems.,می‌توانم با آرامش به مشکلات پروداکشن واکنش نشان دهم.
verb.anpassen,anpassen,to adapt,تطبیق دادن,haben,angepasst,true,an,A2,Ich kann eine Lösung an neue Anforderungen anpassen.,I can adapt a solution to new requirements.,می‌توانم یک راه‌حل را با نیازمندی‌های جدید تطبیق دهم.
verb.bereitstellen,bereitstellen,to provide / deploy,فراهم یا مستقر کردن,haben,bereitgestellt,true,bereit,B1,Ich kann eine Anwendung reproduzierbar bereitstellen.,I can deploy an application reproducibly.,می‌توانم یک برنامه را به‌صورت قابل‌بازتولید دیپلوی کنم.
